text,label,source,service,error_signature,severity


"no space left on device",disk_full,jenkins,disk-job,disk full,high
"disk is full cannot write",disk_full,jenkins,disk-job,disk full,high
"filesystem full error",disk_full,jenkins,disk-job,disk full,high
"insufficient disk space on agent",disk_full,jenkins,disk-job,disk full,high
"volume capacity exceeded",disk_full,jenkins,disk-job,disk full,high
"unable to create file disk full",disk_full,jenkins,disk-job,disk full,high
"not enough storage space",disk_full,jenkins,disk-job,disk full,high
"write failed no space left",disk_full,jenkins,disk-job,disk full,high

"cannot connect to docker daemon",docker_daemon_down,jenkins,docker-job,daemon down,high
"docker daemon not running",docker_daemon_down,jenkins,docker-job,daemon down,high
"failed to connect to docker.sock",docker_daemon_down,jenkins,docker-job,daemon down,high
"dial unix var run docker.sock connect no such file",docker_daemon_down,jenkins,docker-job,daemon down,high
"docker service is inactive",docker_daemon_down,jenkins,docker-job,daemon down,high
"docker engine unavailable",docker_daemon_down,jenkins,docker-job,daemon down,high
"failed to start docker service",docker_daemon_down,jenkins,docker-job,daemon down,high
"error during connect docker daemon is not running",docker_daemon_down,jenkins,docker-job,daemon down,high
"cannot connect to docker engine pipe",docker_daemon_down,jenkins,docker-job,daemon down,high
"open //./pipe/docker_engine failed",docker_daemon_down,jenkins,docker-job,daemon down,high
"docker desktop not started",docker_daemon_down,jenkins,docker-job,daemon down,high
"docker engine pipe not available",docker_daemon_down,jenkins,docker-job,daemon down,high

"permission denied publickey",ssh_auth_failed,jenkins,git-ssh-job,auth failed,high
"ssh authentication failed",ssh_auth_failed,jenkins,git-ssh-job,auth failed,high
"git over ssh access denied",ssh_auth_failed,jenkins,git-ssh-job,auth failed,high
"publickey authentication failure",ssh_auth_failed,jenkins,git-ssh-job,auth failed,high
"ssh key rejected by server",ssh_auth_failed,jenkins,git-ssh-job,auth failed,high
"unable to authenticate via ssh",ssh_auth_failed,jenkins,git-ssh-job,auth failed,high

"fatal authentication failed for repository",git_auth_failed,jenkins,git-job,auth failed,high
"invalid username or password git",git_auth_failed,jenkins,git-job,auth failed,high
"repository access denied",git_auth_failed,jenkins,git-job,auth failed,high
"could not read from remote repository",git_auth_failed,jenkins,git-job,auth failed,high
"git clone authentication failed",git_auth_failed,jenkins,git-job,auth failed,high
"git credentials rejected",git_auth_failed,jenkins,git-job,auth failed,high

"http 500 internal server error",http_500,jenkins,api-job,server error,high
"500 server error response",http_500,jenkins,api-job,server error,high
"api returned status code 500",http_500,jenkins,api-job,server error,high
"backend service returned 500",http_500,jenkins,api-job,server error,high
"unexpected 500 error from service",http_500,jenkins,api-job,server error,high
"internal server error occurred",http_500,jenkins,api-job,server error,high

"mvn command not found",mvn_missing,jenkins,mvn-job,command missing,high
"maven not installed",mvn_missing,jenkins,mvn-job,command missing,high
"mvn is not recognized",mvn_missing,jenkins,mvn-job,command missing,high
"unable to locate maven executable",mvn_missing,jenkins,mvn-job,command missing,high
"maven binary missing from path",mvn_missing,jenkins,mvn-job,command missing,high
"bash mvn command not found",mvn_missing,jenkins,mvn-job,command missing,high

"permission denied while accessing file",permission_denied,jenkins,perm-job,permission denied,medium
"access denied to directory",permission_denied,jenkins,perm-job,permission denied,medium
"user does not have required permission",permission_denied,jenkins,perm-job,permission denied,medium
"operation not permitted",permission_denied,jenkins,perm-job,permission denied,medium
"cannot execute due to permission restrictions",permission_denied,jenkins,perm-job,permission denied,medium
"write permission denied",permission_denied,jenkins,perm-job,permission denied,medium

"scm checkout failed",scm_checkout_failed,jenkins,git-job,checkout failed,high
"failed to fetch repository",scm_checkout_failed,jenkins,git-job,checkout failed,high
"git checkout failed",scm_checkout_failed,jenkins,git-job,checkout failed,high
"error cloning repository",scm_checkout_failed,jenkins,git-job,checkout failed,high
"unable to checkout branch",scm_checkout_failed,jenkins,git-job,checkout failed,high
"repository checkout unsuccessful",scm_checkout_failed,jenkins,git-job,checkout failed,high

"ssh connection timed out",ssh_timeout,jenkins,ssh-job,timeout,high
"timeout while connecting to host",ssh_timeout,jenkins,ssh-job,timeout,high
"operation timed out ssh",ssh_timeout,jenkins,ssh-job,timeout,high
"ssh handshake timeout",ssh_timeout,jenkins,ssh-job,timeout,high
"connection timed out port 22",ssh_timeout,jenkins,ssh-job,timeout,high
"ssh session timeout",ssh_timeout,jenkins,ssh-job,timeout,high

"no space left on device while writing artifact",disk_full,jenkins,disk-job,disk full,high
"failed writing to workspace insufficient space",disk_full,jenkins,disk-job,disk full,high
"jenkins workspace out of disk space",disk_full,jenkins,disk-job,disk full,high
"cannot allocate disk space",disk_full,jenkins,disk-job,disk full,high
"error writing file system full",disk_full,jenkins,disk-job,disk full,high
"disk quota exceeded",disk_full,jenkins,disk-job,disk full,high
"build failed no disk space available",disk_full,jenkins,disk-job,disk full,high
"temporary directory full",disk_full,jenkins,disk-job,disk full,high
"overlayfs no space left",disk_full,jenkins,disk-job,disk full,high
"docker build failed no space left on device",disk_full,jenkins,disk-job,disk full,high

"cannot connect to docker engine",docker_daemon_down,jenkins,docker-job,daemon down,high
"dockerd process not found",docker_daemon_down,jenkins,docker-job,daemon down,high
"docker ps returned error daemon not responding",docker_daemon_down,jenkins,docker-job,daemon down,high
"error during connect http docker socket",docker_daemon_down,jenkins,docker-job,daemon down,high
"docker info failed daemon unreachable",docker_daemon_down,jenkins,docker-job,daemon down,high
"systemctl status docker inactive",docker_daemon_down,jenkins,docker-job,daemon down,high
"docker build cannot connect to daemon",docker_daemon_down,jenkins,docker-job,daemon down,high
"container runtime not running",docker_daemon_down,jenkins,docker-job,daemon down,high

"authentication refused publickey",ssh_auth_failed,jenkins,git-ssh-job,auth failed,high
"no supported authentication methods available",ssh_auth_failed,jenkins,git-ssh-job,auth failed,high
"host key verification failed",ssh_auth_failed,jenkins,git-ssh-job,auth failed,high
"ssh permission denied password publickey",ssh_auth_failed,jenkins,git-ssh-job,auth failed,high
"key exchange failed authentication",ssh_auth_failed,jenkins,git-ssh-job,auth failed,high
"remote rejected our key",ssh_auth_failed,jenkins,git-ssh-job,auth failed,high

"fatal could not authenticate to github",git_auth_failed,jenkins,git-job,auth failed,high
"authentication required but no credentials provided",git_auth_failed,jenkins,git-job,auth failed,high
"access to repository forbidden",git_auth_failed,jenkins,git-job,auth failed,high
"git push rejected authentication",git_auth_failed,jenkins,git-job,auth failed,high
"remote repository authentication error",git_auth_failed,jenkins,git-job,auth failed,high
"token authentication failed",git_auth_failed,jenkins,git-job,auth failed,high

"received http status 500 from upstream",http_500,jenkins,api-job,server error,high
"service responded with 500 internal error",http_500,jenkins,api-job,server error,high
"gateway returned 500 error",http_500,jenkins,api-job,server error,high
"application crashed returning 500",http_500,jenkins,api-job,server error,high
"server error during api call",http_500,jenkins,api-job,server error,high
"unexpected response 500",http_500,jenkins,api-job,server error,high

"/usr/bin/mvn not found",mvn_missing,jenkins,mvn-job,command missing,high
"mvn executable missing in agent",mvn_missing,jenkins,mvn-job,command missing,high
"maven home not set",mvn_missing,jenkins,mvn-job,command missing,high
"apache maven not installed on node",mvn_missing,jenkins,mvn-job,command missing,high
"mvn clean install failed command not found",mvn_missing,jenkins,mvn-job,command missing,high
"cannot run mvn binary missing",mvn_missing,jenkins,mvn-job,command missing,high

"chmod required permission denied",permission_denied,jenkins,perm-job,permission denied,medium
"cannot open file permission denied",permission_denied,jenkins,perm-job,permission denied,medium
"jenkins user lacks permission",permission_denied,jenkins,perm-job,permission denied,medium
"access forbidden filesystem",permission_denied,jenkins,perm-job,permission denied,medium
"failed to write file permission error",permission_denied,jenkins,perm-job,permission denied,medium

"hudson git checkout returned status code 128",scm_checkout_failed,jenkins,git-job,checkout failed,high
"unable to clone git repository",scm_checkout_failed,jenkins,git-job,checkout failed,high
"fetch failed from origin",scm_checkout_failed,jenkins,git-job,checkout failed,high
"git fetch error",scm_checkout_failed,jenkins,git-job,checkout failed,high
"jenkins unable to retrieve source code",scm_checkout_failed,jenkins,git-job,checkout failed,high

"connection timed out during banner exchange",ssh_timeout,jenkins,ssh-job,timeout,high
"ssh unreachable host",ssh_timeout,jenkins,ssh-job,timeout,high
"no route to host ssh",ssh_timeout,jenkins,ssh-job,timeout,high
"network unreachable port 22",ssh_timeout,jenkins,ssh-job,timeout,high
"ssh keepalive timeout",ssh_timeout,jenkins,ssh-job,timeout,high
"remote host not responding ssh",ssh_timeout,jenkins,ssh-job,timeout,high
